episode,timestep,reward
2454,239000,-32.55
2456,239200,-23.45
2458,239400,-24.1
2460,239600,-22.15
2462,239800,-35.15
2464,240000,-25.4
2466,240200,-12.85
2468,240400,-22.3
2471,240600,-24.2333
2473,240800,-31.25
2475,241000,-23.45
2477,241200,-28.0
2479,241400,-24.75
2481,241600,-25.4
2483,241800,-31.9
2485,242000,-17.3
2487,242200,-25.4
2489,242400,-33.85
2491,242600,-28.0
2493,242800,-29.95
2495,243000,-19.55
2497,243200,-28.65
2499,243400,-22.1
2502,243600,-15.1
2504,243800,-27.35
2506,244000,-27.35
2508,244200,-22.15
2510,244400,-26.05
2512,244600,-36.45
2514,244800,-26.7
2516,245000,-21.4
2518,245200,-34.5
2520,245400,-24.1
2522,245600,-34.5
2524,245800,-23.45
2526,246000,-24.75
2528,246200,-18.25
2530,246400,-28.0
2532,246600,-22.15
2534,246800,-23.45
2536,247000,-26.05
2538,247200,-24.75
2540,247400,-29.3
2542,247600,-26.7
2544,247800,-29.3
2546,248000,-28.65
2549,248200,-15.2333
2551,248400,-27.35
2553,248600,-33.85
2555,248800,-20.05
2557,249000,-27.35
2559,249200,-28.0
2561,249400,-35.15
2563,249600,-25.4
2565,249800,-33.85
2567,250000,-21.5
2569,250200,-24.1
2571,250400,-29.3
2573,250600,-33.2
2575,250800,-26.7
2577,251000,-26.7
2579,251200,-29.95
2581,251400,-20.2
2583,251600,-29.3
2585,251800,-28.0
2587,252000,-27.35
2589,252200,-33.2
2591,252400,-32.55
2593,252600,-32.55
2595,252800,-35.15
2597,253000,-21.95
2599,253200,-25.4
2601,253400,-19.5
2603,253600,-19.55
2605,253800,-23.65
2607,254000,-29.3
2609,254200,-19.55
2611,254400,-26.7
2614,254600,-27.1
2616,254800,-37.75
2618,255000,-27.35
2620,255200,-26.05
2622,255400,-30.6
2624,255600,-24.75
2626,255800,-14.05
2628,256000,-33.2
2630,256200,-29.95
2632,256400,-31.9
2634,256600,-26.05
2636,256800,-22.8
2638,257000,-18.0
2640,257200,-24.8
2642,257400,-24.75
2645,257600,-19.7333
2647,257800,-25.4
2649,258000,-16.3
2651,258200,-24.1
2653,258400,-28.65
2655,258600,-26.05
2657,258800,-24.15
2659,259000,-22.05
2661,259200,-33.85
2663,259400,-28.0
2665,259600,-22.15
2667,259800,-24.1
2669,260000,-31.25
2671,260200,-27.35
2673,260400,-26.05
2676,260600,-25.0667
2678,260800,-23.45
2680,261000,-26.7
2682,261200,-33.85
2684,261400,-28.0
2686,261600,-20.85
